net,length_um
rx_fifo.fifo\[6\]\[3\],10.66
tx_fifo.fifo\[4\]\[7\],10.66
_0549_,10.6
regs.dlh\[2\],10.58
_0994_,10.565
_0936_,10.54
_1197_,10.54
tx_fifo.fifo\[11\]\[0\],10.49
net370,10.46
_0921_,10.44
net206,10.44
net340,10.44
_0667_,10.42
_0915_,10.42
net383,10.405
regs.mcr_reg\[6\],10.38
tx.baud_cnt\[15\],10.38
_0255_,10.37
_0038_,10.36
rx.baud_cnt\[13\],10.36
net372,10.34
_0108_,10.32
_0241_,10.32
_0337_,10.32
_0552_,10.32
net271,10.32
_0138_,10.3
net273,10.3
net281,10.28
_0287_,10.24
_0482_,10.21
net315,10.2
_0674_,10.18
net314,10.18
net288,10.14
_1248_,10.12
_0816_,10.065
net292,10.06
rx_fifo.fifo\[12\]\[5\],10.05
_1076_,9.98
rx_fifo.fifo\[15\]\[9\],9.96
_1130_,9.94
_1172_,9.94
_0950_,9.92
tx_fifo.fifo\[14\]\[7\],9.92
rx_fifo.fifo\[5\]\[0\],9.89
tx_fifo.fifo\[4\]\[2\],9.885
_0708_,9.86
_1245_,9.86
_1247_,9.86
_1083_,9.85
_1087_,9.85
_0698_,9.84
rx_fifo.fifo\[6\]\[6\],9.825
_0136_,9.82
_0922_,9.82
_0923_,9.82
_0764_,9.8
net354,9.76
_1008_,9.755
_0945_,9.72
_1140_,9.72
tx_fifo.fifo\[13\]\[3\],9.71
_0000_,9.7
regs.lcr\[5\],9.7
net268,9.7
_0164_,9.665
_0145_,9.66
_0371_,9.66
regs.tx_data\[2\],9.66
_0367_,9.64
_0788_,9.64
_0329_,9.57
_0623_,9.54
_0969_,9.54
net329,9.52
_0406_,9.51
_0736_,9.48
_0933_,9.48
_0960_,9.46
rx_fifo.fifo\[10\]\[2\],9.445
_0189_,9.43
_0194_,9.41
_0463_,9.4
_1050_,9.4
_1204_,9.4
net341,9.4
_0963_,9.38
_0557_,9.32
_1210_,9.32
_0362_,9.28
_0626_,9.28
_0998_,9.26
rx_fifo.fifo\[11\]\[7\],9.26
rx_fifo.fifo\[6\]\[1\],9.205
_0508_,9.19
_0182_,9.18
_0372_,9.18
_0794_,9.18
_0966_,9.16
_1057_,9.16
rx.baud_cnt\[7\],9.16
_0483_,9.13
_0979_,9.12
_0221_,9.11
_0234_,9.11
tx_fifo.fifo\[12\]\[6\],9.09
net379,9.08
_0165_,9.06
net356,9.06
_0142_,9.02
_1183_,9.02
_0504_,9.01
_0369_,9
_0561_,8.98
net321,8.98
break_int,8.96
rdata[6],8.96
_0335_,8.94
_1015_,8.94
_1097_,8.94
rx_fifo.fifo\[11\]\[10\],8.935
_0819_,8.92
_0187_,8.9
rx_fifo.fifo\[15\]\[1\],8.895
rx_fifo.fifo\[7\]\[7\],8.875
rx_in,8.84
net312,8.84
net328,8.84
net349,8.835
_0662_,8.82
_0490_,8.79
rx_fifo.fifo\[14\]\[0\],8.77
_1070_,8.74
_0660_,8.72
wdata[0],8.72
wdata[5],8.72
_0239_,8.71
_0045_,8.68
rx_fifo.fifo\[1\]\[4\],8.675
_1168_,8.66
_0230_,8.63
_0109_,8.62
_0699_,8.62
_1255_,8.62
_0079_,8.6
_0111_,8.6
_0199_,8.58
_0687_,8.58
_0758_,8.58
_1231_,8.58
_0256_,8.54
_0509_,8.485
_0930_,8.48
_1149_,8.48
_0412_,8.47
_1089_,8.47
rx_fifo.fifo\[8\]\[3\],8.45
_0072_,8.445
_0805_,8.44
_0917_,8.42
_1103_,8.42
_1020_,8.4
_0236_,8.37
rx_fifo.fifo\[8\]\[5\],8.37
_0634_,8.36
_0603_,8.34
_0692_,8.34
_0186_,8.33
rx_fifo.fifo\[5\]\[9\],8.32
_1200_,8.3
_1146_,8.28
_0163_,8.26
tx_fifo.fifo\[8\]\[6\],8.25
_0123_,8.24
net301,8.24
rx_fifo.fifo\[0\]\[7\],8.21
_1160_,8.2
net263,8.2
_0289_,8.19
_0332_,8.17
_0167_,8.16
_0098_,8.14
_0114_,8.14
_0817_,8.14
net36,8.14
net337,8.14
_0407_,8.13
_0017_,8.12
_0438_,8.12
_0704_,8.12
net297,8.1
_0310_,8.08
_0472_,8.08
_1192_,8.08
regs.ier\[1\],8.06
_0804_,8.04
_0916_,8.04
temt,8.04
_0612_,8.02
_1058_,8.02
_1107_,8.02
_1232_,8.02
rx_fifo.fifo\[3\]\[6\],7.995
_0546_,7.98
_1100_,7.98
_1161_,7.98
_1174_,7.98
tx_fifo.fifo\[5\]\[4\],7.95
rx_fifo.fifo\[7\]\[4\],7.91
_1101_,7.86
rx_fifo.fifo\[4\]\[9\],7.805
_0457_,7.79
rx_fifo.fifo\[12\]\[8\],7.79
_1017_,7.74
_0177_,7.72
_0672_,7.72
_1177_,7.72
_0503_,7.71
rx_fifo.fifo\[10\]\[4\],7.71
_0216_,7.69
_0150_,7.68
_1000_,7.68
net357,7.68
_1173_,7.66
tx_fifo.fifo\[6\]\[0\],7.655
_0392_,7.65
regs.ier\[3\],7.645
_0624_,7.64
rx_fifo.fifo\[9\]\[1\],7.63
_1072_,7.62
_0059_,7.6
_0957_,7.6
tx.shift_reg\[3\],7.6
_0984_,7.58
net342,7.58
out1,7.57
_0364_,7.56
_0643_,7.56
_0706_,7.56
_1088_,7.56
_1098_,7.56
rx.break_int_lat,7.56
rx_fifo.fifo\[3\]\[1\],7.525
_0078_,7.52
_0548_,7.52
_0729_,7.52
_0833_,7.52
rx_fifo.fifo\[5\]\[6\],7.495
tx_fifo.fifo\[2\]\[7\],7.49
rx_fifo.fifo\[13\]\[3\],7.48
tx_fifo.fifo\[0\]\[3\],7.48
wdata[1],7.47
wr_en,7.47
rx_fifo.fifo\[3\]\[8\],7.465
_0617_,7.46
net320,7.46
_1142_,7.44
net289,7.44
_0476_,7.43
_0300_,7.42
_0589_,7.42
_0837_,7.42
tx_fifo.fifo\[9\]\[5\],7.37
_1138_,7.34
_0274_,7.33
_0473_,7.33
_0102_,7.32
_0511_,7.32
_0738_,7.32
_1095_,7.3
rx_fifo.fifo\[13\]\[8\],7.29
tx_fifo.fifo\[13\]\[4\],7.29
_0676_,7.28
_0250_,7.27
rx_fifo.fifo\[8\]\[7\],7.27
net333,7.24
_0265_,7.23
tx.shift_reg\[7\],7.22
rx_fifo.fifo\[5\]\[4\],7.2
rx_fifo.fifo\[0\]\[9\],7.195
_1181_,7.18
rx.framing_err,7.18
_0642_,7.14
net332,7.14
_0238_,7.13
rx_fifo.fifo\[15\]\[0\],7.11
rx_fifo.fifo\[15\]\[4\],7.11
_0144_,7.1
_0570_,7.1
_1152_,7.1
_1171_,7.1
tx_fifo.fifo\[6\]\[2\],7.1
net348,7.1
_0339_,7.08
_1063_,7.08
rx_fifo.fifo\[13\]\[5\],7.08
rx_fifo.fifo\[14\]\[10\],7.08
rx_fifo.fifo\[0\]\[3\],7.07
_0541_,7.06
_0709_,7.04
_0415_,7.03
rx_fifo.fifo\[14\]\[9\],7.01
_1220_,7
_0399_,6.98
_0982_,6.98
_1201_,6.98
tx_fifo.tail\[0\],6.98
rx_fifo.fifo\[13\]\[1\],6.97
tx_fifo.fifo\[3\]\[5\],6.95
tx_fifo.fifo\[4\]\[4\],6.95
_0932_,6.94
rx_fifo.fifo\[0\]\[0\],6.93
net339,6.9
net360,6.9
net362,6.9
_0247_,6.89
_0052_,6.88
_0154_,6.88
_0752_,6.88
net302,6.88
_0259_,6.87
_0446_,6.87
rx_fifo.fifo\[13\]\[2\],6.87
_0125_,6.86
_0572_,6.86
_0605_,6.86
_1166_,6.84
tx_fifo.fifo\[11\]\[5\],6.83
_0146_,6.78
_1069_,6.76
net378,6.76
tx_fifo.fifo\[7\]\[4\],6.755
_0471_,6.75
_0437_,6.74
_0323_,6.7
_0453_,6.7
_0270_,6.69
_0622_,6.66
rx_fifo.fifo\[14\]\[1\],6.66
_0202_,6.64
_0424_,6.64
_0720_,6.64
tx_fifo.fifo\[11\]\[2\],6.62
rx_fifo.fifo\[11\]\[2\],6.61
rx_fifo.fifo\[6\]\[5\],6.61
_0647_,6.6
_0750_,6.6
_1155_,6.6
_1114_,6.59
tx_fifo.fifo\[4\]\[1\],6.55
_0510_,6.53
rx_fifo.fifo\[7\]\[2\],6.53
tx_fifo.fifo\[4\]\[3\],6.53
net338,6.52
_0181_,6.49
_0271_,6.49
_0497_,6.49
_1222_,6.48
rx_fifo.fifo\[14\]\[5\],6.48
net78,6.48
_0340_,6.47
rx_fifo.fifo\[3\]\[3\],6.465
net359,6.44
net365,6.44
_0082_,6.42
_0103_,6.42
_0359_,6.42
rx_fifo.fifo\[8\]\[2\],6.42
net272,6.42
net278,6.42
net282,6.42
_0320_,6.41
_0322_,6.41
rx_fifo.fifo\[14\]\[3\],6.41
_1011_,6.4
regs.tx_data\[3\],6.4
_0127_,6.38
_0365_,6.38
_0465_,6.37
tx_fifo.fifo\[5\]\[2\],6.37
_1042_,6.36
_1075_,6.36
_0640_,6.33
_0086_,6.32
_0173_,6.32
net303,6.32
_0065_,6.3
_0094_,6.3
_0688_,6.3
net311,6.3
tx_fifo.fifo\[1\]\[1\],6.29
_0344_,6.28
rx_fifo.fifo\[4\]\[7\],6.27
_0649_,6.26
_1077_,6.26
_0432_,6.24
rx_fifo.fifo\[4\]\[4\],6.23
rdata[0],6.21
rdata[7],6.21
thre,6.21
_1212_,6.2
_0254_,6.19
_0273_,6.19
_0031_,6.18
_0262_,6.18
_1080_,6.18
_1190_,6.18
_0113_,6.145
_0104_,6.14
_0183_,6.14
_0316_,6.14
_0515_,6.14
_1121_,6.14
rx.parity_err,6.14
net270,6.14
_0342_,6.11
wdata[7],6.09
net336,6.08
_0306_,6.07
rx_fifo.fifo\[12\]\[3\],6.07
net266,6.04
_0352_,6.03
_0426_,6.03
rx_fifo.fifo\[7\]\[5\],6.03
tx_fifo.fifo\[3\]\[3\],6.03
_0433_,6.02
net355,5.98
net373,5.98
_0251_,5.97
_0041_,5.96
_0091_,5.96
_0168_,5.96
_0341_,5.95
_0416_,5.95
rx_fifo.fifo\[0\]\[5\],5.95
_0063_,5.92
_0047_,5.86
_0753_,5.84
_0782_,5.84
tx.shift_reg\[0\],5.84
tx.shift_reg\[5\],5.84
_0248_,5.83
_0450_,5.83
_0190_,5.82
_0386_,5.82
_0391_,5.82
_0466_,5.82
_0089_,5.8
_0099_,5.8
_0695_,5.8
_0798_,5.8
_0935_,5.8
_0958_,5.78
tx_out,5.75
rx_fifo.fifo\[12\]\[7\],5.74
rx_fifo.fifo\[2\]\[5\],5.74
rx_fifo.fifo\[6\]\[10\],5.74
_0093_,5.72
_0568_,5.72
_0638_,5.72
_0812_,5.72
_0962_,5.72
_1039_,5.72
_1141_,5.72
_1208_,5.72
net323,5.72
tx_fifo.fifo\[6\]\[7\],5.7
_0032_,5.685
_0268_,5.68
_1251_,5.62
net267,5.62
net306,5.62
_0394_,5.61
_0608_,5.6
_1115_,5.6
regs.int_pending,5.59
rx_fifo.fifo\[12\]\[6\],5.59
_0276_,5.58
_0789_,5.58
tx_fifo.fifo\[6\]\[4\],5.58
_0345_,5.57
tx_fifo.fifo\[6\]\[6\],5.57
_0128_,5.56
net265,5.52
net269,5.52
net284,5.52
net367,5.52
_0184_,5.51
_0073_,5.5
_0179_,5.5
_0778_,5.5
_1119_,5.5
net295,5.5
_0219_,5.49
_0261_,5.49
_0343_,5.49
tx_fifo.fifo\[4\]\[6\],5.49
_0130_,5.48
rx_fifo.fifo\[5\]\[8\],5.48
_0242_,5.455
_0333_,5.455
rx_fifo.fifo\[1\]\[8\],5.45
rd_en,5.41
_0060_,5.4
_1102_,5.4
_0207_,5.39
_0213_,5.39
_0266_,5.39
_0080_,5.38
_0161_,5.38
_0599_,5.38
_1226_,5.38
_0075_,5.37
_0053_,5.34
_0115_,5.34
_0703_,5.34
_1081_,5.34
rx_fifo.fifo\[15\]\[8\],5.29
_0651_,5.28
rx_fifo.fifo\[1\]\[9\],5.28
_0036_,5.26
_0388_,5.26
_0492_,5.26
_0954_,5.26
net364,5.26
net376,5.26
_0055_,5.24
_0178_,5.23
_0354_,5.22
_0442_,5.22
_0600_,5.22
rx_fifo.fifo\[6\]\[2\],5.215
rdata[2],5.19
tx_fifo.fifo\[1\]\[5\],5.17
net346,5.16
_0191_,5.15
_0325_,5.08
net334,5.075
dr,5.07
dtr,5.07
rdata[5],5.07
rts,5.07
net300,5.06
net363,5.06
_0279_,5.05
_0291_,5.05
_0428_,5.05
_0491_,5.05
_0100_,5.04
_0170_,5.04
_0360_,5.04
_0980_,5.04
_1178_,5.04
rx_fifo.fifo\[7\]\[1\],5.035
_0387_,5.03
_0040_,5.02
_0319_,5.02
rx_fifo.fifo\[15\]\[10\],4.99
_0500_,4.97
addr[2],4.95
rx_fifo.fifo\[14\]\[6\],4.945
_0590_,4.94
_1233_,4.94
_0275_,4.93
net335,4.925
_0085_,4.92
_0106_,4.92
_0110_,4.92
_0112_,4.92
_0131_,4.92
_0132_,4.92
_0140_,4.92
_1129_,4.92
_1224_,4.92
regs.dlh\[3\],4.92
net280,4.92
_0423_,4.91
rx_fifo.fifo\[11\]\[1\],4.91
_0298_,4.9
_0321_,4.9
_0338_,4.9
_0401_,4.9
_0682_,4.9
_0795_,4.9
_0910_,4.9
rx_fifo.fifo\[8\]\[1\],4.89
_0133_,4.88
_0134_,4.88
_0820_,4.88
rx.break_int,4.88
tx_fifo.fifo\[0\]\[5\],4.86
tx_fifo.fifo\[5\]\[5\],4.855
rx_fifo.fifo\[12\]\[4\],4.83
_0478_,4.82
rx_fifo.fifo\[1\]\[6\],4.81
_0193_,4.8
_0249_,4.8
_0697_,4.8
_1033_,4.8
rx_fifo.fifo\[2\]\[7\],4.8
net369,4.8
net285,4.765
_0680_,4.76
_1239_,4.76
_1243_,4.76
rx_fifo.fifo\[4\]\[6\],4.735
wdata[6],4.73
rx_fifo.fifo\[7\]\[3\],4.715
tx_fifo.fifo\[3\]\[0\],4.715
_0616_,4.7
_0390_,4.69
_0419_,4.69
tx_fifo.fifo\[10\]\[2\],4.69
_0175_,4.68
_1241_,4.68
tx.parity_bit,4.68
_0277_,4.59
_0402_,4.59
_0449_,4.59
_0067_,4.58
_0162_,4.58
_0361_,4.58
_0374_,4.57
_0464_,4.57
rx_fifo.fifo\[7\]\[6\],4.57
tx_fifo.fifo\[10\]\[3\],4.57
_0678_,4.56
_0353_,4.54
_0756_,4.54
_0769_,4.54
_1139_,4.54
_0311_,4.51
_1205_,4.49
_0054_,4.48
_0129_,4.48
_1227_,4.48
_0070_,4.46
_0071_,4.46
_0205_,4.46
_0607_,4.46
_0814_,4.46
_1151_,4.46
net361,4.46
_0422_,4.45
tx_fifo.fifo\[0\]\[2\],4.45
_0395_,4.44
_0469_,4.44
_0474_,4.44
_0057_,4.42
_0058_,4.42
_1234_,4.42
rdata[1],4.39
tx_fifo.fifo\[5\]\[1\],4.365
_0201_,4.36
_0765_,4.36
tx_fifo.fifo\[9\]\[2\],4.36
_0282_,4.34
_0563_,4.34
_0601_,4.34
_0610_,4.34
_0620_,4.34
_0683_,4.34
_1122_,4.34
_1250_,4.34
_0766_,4.32
rx_fifo.fifo\[14\]\[4\],4.265
rx_fifo.fifo\[1\]\[2\],4.265
tx_fifo.fifo\[4\]\[0\],4.25
net353,4.24
_0350_,4.23
_0481_,4.23
tx_fifo.fifo\[15\]\[3\],4.23
_0351_,4.22
tx_fifo.fifo\[5\]\[3\],4.215
rx_fifo.fifo\[4\]\[8\],4.21
net304,4.2
_0232_,4.17
_0595_,4.14
_0606_,4.14
_1246_,4.14
net368,4.14
_0077_,4.12
_0148_,4.12
_0153_,4.12
_0157_,4.12
rx_fifo.fifo\[0\]\[8\],4.11
tx_fifo.fifo\[11\]\[3\],4.11
tx_fifo.fifo\[12\]\[4\],4.11
tx_fifo.fifo\[12\]\[7\],4.11
tx_fifo.fifo\[1\]\[0\],4.11
_1022_,4.1
regs.dlh\[1\],4.1
_0313_,4.05
_0487_,4.05
_1219_,4.02
rx_fifo.fifo\[11\]\[6\],4.02
_0056_,4
_0172_,4
_0324_,4
_0593_,4
_0965_,4
_1111_,4
_1189_,4
tx_fifo.fifo\[8\]\[4\],4
_0685_,3.98
_1223_,3.98
tx_fifo.fifo\[7\]\[3\],3.975
tx_fifo.fifo\[7\]\[1\],3.94
_0218_,3.9
rx_fifo.fifo\[15\]\[2\],3.9
tx_fifo.fifo\[3\]\[6\],3.89
tx_fifo.fifo\[8\]\[2\],3.89
_0226_,3.88
_0296_,3.88
_0317_,3.88
_0447_,3.88
_0496_,3.88
_1124_,3.88
_1203_,3.88
_1218_,3.88
net313,3.88
_1162_,3.87
_1014_,3.86
rx_fifo.fifo\[13\]\[4\],3.8
rx_fifo.fifo\[9\]\[10\],3.8
tx_fifo.fifo\[0\]\[7\],3.79
_1099_,3.78
tx_fifo.fifo\[7\]\[5\],3.78
net286,3.78
_0384_,3.77
_0418_,3.77
tx_fifo.fifo\[9\]\[0\],3.77
_1238_,3.76
_0722_,3.74
_0293_,3.73
_0326_,3.73
_0245_,3.69
_0280_,3.69
_0981_,3.68
_0137_,3.66
_0397_,3.66
_0439_,3.65
rx_fifo.fifo\[7\]\[10\],3.65
tx_fifo.fifo\[3\]\[1\],3.65
tx_fifo.fifo\[9\]\[6\],3.65
_0122_,3.64
_0124_,3.64
rx_fifo.fifo\[0\]\[6\],3.63
_0217_,3.61
_0348_,3.61
_0383_,3.59
_0448_,3.59
_0135_,3.56
_0149_,3.56
_0802_,3.56
_1060_,3.56
_1167_,3.56
_0050_,3.54
_0076_,3.54
_0081_,3.54
_0087_,3.54
_0090_,3.54
_0092_,3.54
_0156_,3.54
_0592_,3.54
_0597_,3.54
_1148_,3.54
_1221_,3.54
tx_fifo.fifo\[11\]\[4\],3.54
_0033_,3.52
_0043_,3.52
_0661_,3.52
_0934_,3.48
tx_fifo.fifo\[15\]\[6\],3.46
rx_fifo.fifo\[11\]\[0\],3.455
tx_fifo.fifo\[9\]\[4\],3.455
_1158_,3.45
_0227_,3.44
_0711_,3.44
rx_fifo.fifo\[3\]\[4\],3.43
_0101_,3.42
_0203_,3.42
_0681_,3.42
_1236_,3.42
rx_fifo.fifo\[13\]\[0\],3.41
_0368_,3.385
rx_fifo.fifo\[14\]\[7\],3.355
rx_fifo.fifo\[8\]\[4\],3.355
_0669_,3.32
tx_fifo.fifo\[10\]\[0\],3.32
net290,3.32
_0283_,3.31
_0312_,3.31
_0334_,3.31
_0382_,3.31
_0409_,3.31
_0462_,3.31
rx_fifo.fifo\[6\]\[8\],3.31
tx_fifo.fifo\[0\]\[4\],3.31
_0121_,3.3
_0297_,3.275
_0196_,3.27
_0200_,3.25
_0303_,3.25
_0304_,3.25
_0308_,3.25
_0336_,3.25
_0347_,3.25
_0389_,3.25
_1199_,3.22
_0068_,3.2
_0095_,3.2
_0258_,3.2
_0357_,3.2
_0366_,3.2
_0959_,3.2
_0204_,3.19
_0405_,3.19
_0414_,3.19
_0454_,3.19
_0468_,3.19
_0488_,3.19
rx_fifo.fifo\[13\]\[9\],3.19
rx_fifo.fifo\[1\]\[10\],3.19
_0039_,3.18
_0691_,3.175
_0214_,3.165
_0257_,3.15
_0307_,3.15
_0198_,3.13
_0210_,3.13
_0222_,3.13
_0267_,3.13
_0269_,3.13
_0376_,3.13
_0451_,3.13
_0452_,3.13
_0459_,3.13
_0931_,3.1
_1048_,3.1
rx_fifo.fifo\[3\]\[5\],3.09
rx_fifo.fifo\[4\]\[2\],3.09
tx_fifo.fifo\[13\]\[5\],3.09
tx_fifo.fifo\[9\]\[1\],3.09
_0048_,3.08
_0083_,3.08
_0116_,3.08
_0925_,3.08
_1035_,3.08
_1156_,3.08
net374,3.08
tx_fifo.fifo\[13\]\[7\],3.055
rx_fifo.fifo\[0\]\[2\],2.995
rx_fifo.fifo\[0\]\[10\],2.99
rx_fifo.fifo\[7\]\[8\],2.99
_0176_,2.98
_0185_,2.98
_0188_,2.98
_0206_,2.98
_0243_,2.98
_0278_,2.98
_0281_,2.98
_0305_,2.98
_0349_,2.98
_0396_,2.98
_0403_,2.98
_0670_,2.98
_1249_,2.98
rx_fifo.fifo\[2\]\[10\],2.975
rx_fifo.fifo\[3\]\[7\],2.97
_0197_,2.96
_0253_,2.96
_0378_,2.96
_0444_,2.96
_0611_,2.96
_0677_,2.96
_1163_,2.96
rx_fifo.fifo\[9\]\[0\],2.96
net134,2.96
rx_fifo.fifo\[4\]\[0\],2.95
tx_fifo.fifo\[15\]\[0\],2.87
tx_fifo.fifo\[1\]\[6\],2.87
_0231_,2.86
_0240_,2.86
_0314_,2.86
_0413_,2.86
_0430_,2.86
_0431_,2.86
_0441_,2.86
rx_fifo.fifo\[9\]\[4\],2.86
_0417_,2.85
_0484_,2.85
tx_fifo.fifo\[11\]\[6\],2.85
tx_fifo.fifo\[13\]\[1\],2.85
_0034_,2.84
_0037_,2.84
regs.dlh\[0\],2.84
_0373_,2.835
_0489_,2.835
tx_fifo.fifo\[5\]\[7\],2.825
_0264_,2.815
_0379_,2.81
_0470_,2.81
_0475_,2.81
_0477_,2.81
_0983_,2.81
_0286_,2.79
_0494_,2.79
rx_fifo.fifo\[11\]\[3\],2.765
_0928_,2.76
_0978_,2.76
_1225_,2.76
net377,2.76
rx_fifo.fifo\[13\]\[7\],2.75
tx_fifo.fifo\[5\]\[6\],2.75
_0062_,2.74
_0169_,2.74
_0974_,2.74
rx_fifo.fifo\[13\]\[6\],2.73
_0309_,2.68
_0195_,2.67
_0223_,2.67
_0224_,2.67
_0228_,2.67
_0295_,2.67
_0385_,2.67
_0398_,2.67
_0425_,2.67
_0429_,2.67
_0434_,2.67
_0455_,2.67
_0486_,2.67
_0498_,2.67
_0726_,2.65
_0911_,2.65
_0555_,2.64
_0573_,2.64
_0583_,2.64
_1106_,2.64
rx_fifo.fifo\[14\]\[8\],2.64
_0097_,2.62
_0107_,2.62
_0119_,2.62
_0171_,2.62
_0558_,2.62
_0684_,2.62
_0801_,2.62
_1094_,2.62
rx_fifo.fifo\[11\]\[5\],2.61
rx_fifo.fifo\[13\]\[10\],2.61
tx_fifo.fifo\[9\]\[3\],2.61
_0604_,2.59
rx_fifo.fifo\[11\]\[9\],2.54
rx_fifo.fifo\[12\]\[9\],2.54
rx_fifo.fifo\[14\]\[2\],2.54
rx_fifo.fifo\[15\]\[3\],2.54
rx_fifo.fifo\[15\]\[6\],2.54
rx_fifo.fifo\[1\]\[3\],2.54
_0225_,2.52
_0233_,2.52
_0246_,2.52
_0284_,2.52
_0292_,2.52
_0294_,2.52
_0315_,2.52
_0375_,2.52
_0381_,2.52
_0400_,2.52
_0404_,2.52
_0411_,2.52
_0427_,2.52
_0443_,2.52
_0445_,2.52
_0460_,2.52
_0461_,2.52
_0467_,2.52
_0479_,2.52
_0495_,2.52
_0499_,2.52
_0646_,2.52
_1019_,2.52
_1082_,2.52
rx_fifo.fifo\[9\]\[9\],2.52
tx_fifo.fifo\[8\]\[1\],2.52
rx_fifo.fifo\[4\]\[1\],2.51
rx_fifo.fifo\[3\]\[10\],2.505
_0220_,2.5
_0575_,2.5
_0749_,2.5
_1052_,2.5
_1056_,2.5
_1193_,2.5
_1230_,2.5
rx_fifo.fifo\[5\]\[10\],2.47
rx_fifo.fifo\[11\]\[8\],2.42
tx_fifo.fifo\[3\]\[4\],2.42
_0506_,2.41
tx_fifo.fifo\[15\]\[1\],2.41
net345,2.4
tx_fifo.fifo\[6\]\[1\],2.39
tx_fifo.fifo\[6\]\[3\],2.39
_0192_,2.33
_0209_,2.33
_0215_,2.33
_0229_,2.33
_0244_,2.33
_0260_,2.33
_0285_,2.33
_0299_,2.33
_0301_,2.33
_0346_,2.33
_0355_,2.33
_0377_,2.33
_0420_,2.33
_0458_,2.33
_0480_,2.33
_0485_,2.33
_0574_,2.3
_1137_,2.3
_1237_,2.3
net279,2.3
tx_fifo.fifo\[15\]\[2\],2.29
_0044_,2.28
_0046_,2.28
_0049_,2.28
_0088_,2.28
_0174_,2.28
tx_fifo.fifo\[3\]\[2\],2.27
_0440_,2.235
_0211_,2.21
_0235_,2.21
_0237_,2.21
_0252_,2.21
_0263_,2.21
_0272_,2.21
_0288_,2.21
_0290_,2.21
_0318_,2.21
_0328_,2.21
_0330_,2.21
_0380_,2.21
_0393_,2.21
_0408_,2.21
_0421_,2.21
_0436_,2.21
_0456_,2.21
_0822_,2.18
_1074_,2.18
net366,2.18
_0074_,2.16
_0096_,2.16
_0370_,2.16
_0602_,2.16
net79,2.16
net322,2.16
rx_fifo.fifo\[7\]\[0\],2.07
rx_fifo.fifo\[9\]\[3\],2.07
tx_fifo.fifo\[7\]\[6\],2.07
_0545_,2.06
_0733_,2.06
tx_fifo.fifo\[0\]\[0\],2.06
tx_fifo.fifo\[8\]\[3\],2.06
tx_fifo.fifo\[11\]\[1\],2.05
tx_fifo.fifo\[9\]\[7\],2.05
_1159_,2.04
rx_fifo.fifo\[6\]\[7\],1.95
_0166_,1.915
_0212_,1.87
_0331_,1.87
_0356_,1.87
_0410_,1.87
_0435_,1.87
_0493_,1.87
_0105_,1.845
_0767_,1.84
_0783_,1.84
_1093_,1.84
_1131_,1.84
_1244_,1.84
_0118_,1.82
_0152_,1.82
_1104_,1.82
_0748_,1.72
net325,1.72
_0069_,1.7
_0117_,1.7
_1186_,1.7
_0781_,1.6
_1254_,1.6
rx_fifo.fifo\[5\]\[5\],1.6
rx_fifo.fifo\[11\]\[4\],1.49
tx_fifo.fifo\[15\]\[5\],1.49
rx_fifo.fifo\[2\]\[8\],1.37
rx_fifo.fifo\[5\]\[1\],1.37
_0035_,1.36
_0120_,1.36
_0645_,1.26
_0813_,1.26
_1028_,1.26
_1043_,1.26
_1108_,1.26
_1157_,1.26
_1187_,1.26
_1188_,1.26
rx_fifo.fifo\[12\]\[0\],1.15
rx_fifo.fifo\[6\]\[4\],1.15
tx_fifo.fifo\[15\]\[7\],1.15
_0712_,1.14
_1185_,1.14
_1242_,1.14
_1127_,0.92
_1128_,0.92
_1240_,0.92
_0061_,0.8
_0066_,0.8
_0619_,0.8
_1198_,0.8
rx_fifo.fifo\[2\]\[4\],0.69
rx_fifo.fifo\[5\]\[7\],0.69
rx_fifo.fifo\[6\]\[0\],0.69
rx_fifo.fifo\[6\]\[9\],0.69
tx_fifo.fifo\[10\]\[7\],0.69
tx_fifo.fifo\[15\]\[4\],0.69
tx_fifo.fifo\[3\]\[7\],0.69
tx.shift_reg\[4\],0.46
net358,0.46
